Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,No of Seasons,combinaiton
longmire,2012,16+,8.3,80,"Drama,Action & Adventure",6,"longmire 2012 16+ 8.3 80 Drama,Action & Adventure 6"
carnival row,2019,18+,7.9,80,"Fantasy,Horror",1,"carnival row 2019 18+ 7.9 80 Fantasy,Horror 1"
scandal,2012,16+,7.7,80,"Drama,Crime",7,"scandal 2012 16+ 7.7 80 Drama,Crime 7"
maniac,2018,16+,7.8,80,"Comedy,Drama",1,"maniac 2018 16+ 7.8 80 Comedy,Drama 1"
perry mason,2020,18+,7.6,80,"Crime,Drama",1,"perry mason 2020 18+ 7.6 80 Crime,Drama 1"
broad city,2014,18+,8.4,80,"Comedy,2014",5,"broad city 2014 18+ 8.4 80 Comedy,2014 5"
stargate sg-1,1997,7+,8.4,80,"Action & Adventure,Fantasy",10 ,"stargate sg-1 1997 7+ 8.4 80 Action & Adventure,Fantasy 10 "
wild wild country,2018,16+,8.2,80,"Documentary,Cult",1,"wild wild country 2018 16+ 8.2 80 Documentary,Cult 1"
dark matter,2015,18+,7.5,80,"Drama,Science-Fiction",3,"dark matter 2015 18+ 7.5 80 Drama,Science-Fiction 3"
masters of sex,2013,18+,7.9,80,"Drama,Romance",4,"masters of sex 2013 18+ 7.9 80 Drama,Romance 4"
cowboy bebop,1998,18+,8.9,80,"Action & Adventure,Anime",1 ,"cowboy bebop 1998 18+ 8.9 80 Action & Adventure,Anime 1 "
workaholics,2011,16+,8.1,80,"Comedy,2011",7,"workaholics 2011 16+ 8.1 80 Comedy,2011 7"
charmed,1998,16+,7.1,80,"Drama,Science-Fiction",8,"charmed 1998 16+ 7.1 80 Drama,Science-Fiction 8"
flight of the conchords,2007,16+,8.5,80,"Comedy,Musical",2,"flight of the conchords 2007 16+ 8.5 80 Comedy,Musical 2"
the league,2009,18+,8.2,80,"Comedy,Sport",7,"the league 2009 18+ 8.2 80 Comedy,Sport 7"
the inbetweeners,2008,18+,8.4,80,"Comedy,2008",3,"the inbetweeners 2008 18+ 8.4 80 Comedy,2008 3"
american vandal,2017,16+,8.2,80,"Comedy,Mystery",2,"american vandal 2017 16+ 8.2 80 Comedy,Mystery 2"
louie,2010,18+,8.5,80,"Comedy,Stand-up & Talk",5 ,"louie 2010 18+ 8.5 80 Comedy,Stand-up & Talk 5 "
queer eye,2018,16+,8.5,80,"Comedy,LGBTQ",5,"queer eye 2018 16+ 8.5 80 Comedy,LGBTQ 5"
rectify,2013,16+,8.3,80,"Drama,2013",4,"rectify 2013 16+ 8.3 80 Drama,2013 4"
samurai champloo,2004,18+,8.5,80,"Action & Adventure,Anime",1,"samurai champloo 2004 18+ 8.5 80 Action & Adventure,Anime 1"
river,2015,7+,8.0,80,"Crime,Drama",1,"river 2015 7+ 8.0 80 Crime,Drama 1"
continuum,2012,16+,7.6,80,"Action & Adventure,Drama",4,"continuum 2012 16+ 7.6 80 Action & Adventure,Drama 4"
timeless,2016,7+,7.7,80,"Drama,Action & Adventure",2 ,"timeless 2016 7+ 7.7 80 Drama,Action & Adventure 2 "
demon slayer: kimetsu no yaiba,2019,18+,8.7,79,"Animation,Anime",1 ,"demon slayer: kimetsu no yaiba 2019 18+ 8.7 79 Animation,Anime 1 "
the great,2020,18+,8.1,79,"Drama,Comedy",1,"the great 2020 18+ 8.1 79 Drama,Comedy 1"
star trek: picard,2020,18+,7.6,79,"Science-Fiction,Action & Adventure",1 ,"star trek: picard 2020 18+ 7.6 79 Science-Fiction,Action & Adventure 1 "
colony,2016,16+,7.4,79,"Drama,Action & Adventure",3,"colony 2016 16+ 7.4 79 Drama,Action & Adventure 3"
devs,2020,18+,7.7,79,"Thriller,Drama",1,"devs 2020 18+ 7.7 79 Thriller,Drama 1"
generation kill,2008,18+,8.5,79,"Action & Adventure,Drama",1,"generation kill 2008 18+ 8.5 79 Action & Adventure,Drama 1"
